交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2017-09-17 11:04:05,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172578135212,`20170000000000001102,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 11:13:57,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172583318234,`20170000000000001109,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 12:55:33,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172601849555,`20170000000000001171,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 17:59:01,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172657934413,`20170000000000001292,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 18:00:40,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172658009104,`20170000000000001295,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 18:08:42,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172661403021,`20170000000000001301,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 18:15:51,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172661833420,`20170000000000001310,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 18:51:43,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172672809196,`20170000000000001329,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 19:22:44,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172675316224,`20170000000000001337,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`{\"sys_order_num\":\"201709171922360000001450\"},`0.00000,`1.00%
`2017-09-17 19:25:40,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172677342506,`20170000000000001340,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`{\"sys_order_num\":\"201709171925320000001455\"},`0.00000,`1.00%
`2017-09-17 19:13:55,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172678702519,`20170000000000001334,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`,`0.00000,`1.00%
`2017-09-17 19:29:24,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172679551686,`20170000000000001341,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`{\"sys_order_num\":\"201709171929160000001456\"},`0.00000,`1.00%
`2017-09-17 20:56:32,`wx33557f267290a3c5,`1486689172,`0,`,`4003722001201709172696060205,`20170000000000001361,`onpKBv5UPG7yaMKItSt-8slnbnEs,`JSAPI,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`pay_test,`{\"sys_order_num\":\"201709172056160000001479\"},`0.00000,`1.00%
